"FullName","DirectoryName","Name","Size(KB)","Size(MB)","LastWriteTime","CreationTime"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\Order of Compliance OR BK 3336 OR 3050.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","Order of Compliance OR BK 3336 OR 3050.pdf","3346.36","3.27","11/21/2025 12:19:30 PM","11/21/2025 6:18:02 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\ET CODE - CHRIS STRAWN.msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","ET CODE - CHRIS STRAWN.msg","3635.5","3.55","11/21/2025 12:19:23 PM","11/21/2025 6:18:00 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\EFUW - APPROVED WITH NOTES..msg","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","EFUW - APPROVED WITH NOTES..msg","348","0.34","11/21/2025 12:19:18 PM","11/21/2025 6:18:00 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\CEL OR BK 2054 PG 637.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","CEL OR BK 2054 PG 637.pdf","3854.53","3.76","11/21/2025 12:19:15 PM","11/21/2025 6:18:02 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\Title Search Report(Bringdown) - 08_01_25 - 1.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","Title Search Report(Bringdown) - 08_01_25 - 1.pdf","13.69","0.01","11/21/2025 12:19:08 PM","11/21/2025 6:18:00 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\Title Commitment.docx","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","Title Commitment.docx","413.37","0.4","11/21/2025 12:19:06 PM","11/21/2025 6:18:00 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING\prior OP.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\POST CLOSING","prior OP.pdf","670.65","0.65","11/21/2025 12:19:03 PM","11/21/2025 6:18:00 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY.zip","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505","ORDER ENTRY.zip","16430.53","16.05","11/21/2025 12:18:57 PM","11/21/2025 12:18:32 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\Executed Addendum 1 - costs split (1).pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","Executed Addendum 1 - costs split (1).pdf","321.07","0.31","11/21/2025 12:18:20 PM","11/21/2025 6:15:08 PM"
"F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY\EMD Receipt.pdf","F:\HomeDirs\clovelady\SETCO\TITLE CLAIMS\DFS-25-1505\ORDER ENTRY","EMD Receipt.pdf","87.72","0.09","11/21/2025 12:18:18 PM","11/21/2025 6:15:08 PM"
